,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speeds
0,atuona,31,PF,1592177223,76,-9.8,-139.03,80.13,13.67
1,shambu,83,ET,1592177223,100,9.57,37.1,53.38,1.07
2,dengzhou,100,CN,1592177223,33,37.81,120.75,79.00,9.42
3,punta arenas,90,CL,1592177223,86,-53.15,-70.92,37.40,12.75
4,sfantu gheorghe,97,RO,1592177223,91,45.87,25.78,62.01,3.06
5,katsuura,96,JP,1592177223,77,35.13,140.3,80.01,12.97
6,praia,11,CV,1592177223,57,14.92,-23.51,80.60,12.75
7,bredasdorp,76,ZA,1592177224,93,-34.53,20.04,55.40,4.92
8,bluff,100,NZ,1592177224,83,-46.6,168.33,39.00,3.00
9,saint simons,20,US,1592177224,69,31.14,-81.39,80.60,13.87
10,kattivakkam,75,IN,1592177224,52,13.22,80.32,89.60,11.41
11,hambantota,99,LK,1592177224,77,6.12,81.12,82.80,16.51
12,ambilobe,48,MG,1592177224,63,-13.2,49.05,71.35,1.81
13,kodiak,90,US,1592176935,76,57.79,-152.41,53.60,10.29
14,beloomut,92,RU,1592177225,69,54.94,39.34,55.00,5.01
15,ushuaia,75,AR,1592177027,94,-54.8,-68.3,32.00,6.93
16,hokitika,94,NZ,1592177225,75,-42.72,170.97,51.33,6.40
17,port hedland,0,AU,1592177225,30,-20.32,118.57,68.00,10.29
18,macas,100,EC,1592177225,83,-2.32,-78.12,67.10,0.60
19,bambous virieux,20,MU,1592177225,73,-20.34,57.76,71.60,8.05
20,castro,99,BR,1592177096,90,-24.79,-50.01,55.67,9.10
21,arkhipo-osipovka,50,RU,1592177226,83,44.37,38.52,66.27,3.87
22,mataura,98,NZ,1592177226,83,-46.19,168.86,39.00,3.00
23,luderitz,23,NA,1592177226,33,-26.65,15.16,60.80,17.22
24,provideniya,75,RU,1592177226,66,64.38,-173.3,51.80,6.71
25,lagoa,20,PT,1592177226,76,39.05,-27.98,62.20,11.41
26,bintulu,75,MY,1592177227,94,3.17,113.03,77.00,3.36
27,lasa,90,IT,1592177227,87,46.62,10.7,50.00,4.70
28,birjand,0,IR,1592177227,12,32.87,59.22,77.00,9.17
29,victoria,91,HK,1592177007,83,22.29,114.16,82.00,11.99
30,jamestown,1,US,1592176958,37,42.1,-79.24,66.20,10.29
31,gondar,91,ET,1592177227,73,12.6,37.47,60.75,2.48
32,norman wells,75,CA,1592177095,52,65.28,-126.83,66.20,16.11
33,saint-augustin,0,CA,1592177227,50,51.23,-58.65,53.06,12.66
34,new norfolk,21,AU,1592177228,73,-42.78,147.06,55.99,5.99
35,beringovskiy,81,RU,1592177228,88,63.05,179.32,40.84,11.10
36,pareora,60,NZ,1592177228,50,-44.49,171.21,50.47,8.05
37,hermanus,61,ZA,1592177228,95,-34.42,19.23,53.01,0.83
38,papetoai,20,PF,1592177228,66,-17.5,-149.87,87.80,3.36
39,pevek,70,RU,1592177228,86,69.7,170.31,38.64,5.23
40,busselton,88,AU,1592177228,71,-33.65,115.33,55.99,9.66
41,hobart,40,AU,1592177091,62,-42.88,147.33,55.99,11.41
42,fortuna,20,US,1592177229,63,40.6,-124.16,68.00,14.99
43,vila franca do campo,40,PT,1592177229,77,37.72,-25.43,59.00,10.29
44,kavieng,100,PG,1592177229,73,-2.57,150.8,84.07,9.06
45,aswan,0,EG,1592177229,17,24.09,32.91,84.02,14.85
46,saskylakh,18,RU,1592177229,46,71.92,114.08,52.48,8.90
47,bonthe,100,SL,1592177229,88,7.53,-12.51,77.56,7.23
48,tucupita,100,VE,1592177230,91,9.06,-62.05,77.43,3.83
49,avarua,75,CK,1592177230,60,-21.21,-159.78,75.20,8.05
50,puerto ayora,40,EC,1592177230,73,-0.74,-90.35,75.20,12.75
51,los llanos de aridane,100,ES,1592177230,88,28.66,-17.92,71.60,1.12
